userId,pr_CTA
user_175722,0.10155503212447216
user_180185,0.35268257116647705
user_119865,0.17767054972307625
user_176700,0.09998393433141188
user_192992,0.23926927976748388
user_176435,0.021419199511507243
user_184005,1.0
user_180918,0.12112046058050677
user_160768,0.0054050044629679545
user_150075,0.01943262443153089
user_127702,0.0067739068065421565
user_142142,0.126976811123863
user_145081,0.03335805454288126
user_116639,1.0
user_120425,0.008387331352593055
user_188703,0.15100882156055973
user_100150,0.10516059077913671
user_101762,0.15214400228707087
user_163121,0.1631183059115182
user_169162,0.1774383360124788
user_164884,0.17216229452614693
user_102496,0.2056955475513024
user_180297,0.0774632122907356
user_119448,0.3057289522577821
user_141332,0.15721334191937172
user_114889,0.0364424195766239
user_188637,1.0
user_194893,1.0
user_192732,0.10491584254354734
user_129131,0.14111739983348826
user_179023,0.09373366681734849
user_184937,0.13315263755573234
user_116822,0.09932657718535454
user_136734,0.18878812083818858
user_115603,0.21215654712122736
user_128534,0.011194809385406809
user_169770,0.08436499323933308
user_111406,1.0
user_196853,0.1267360499836163
user_116131,0.010101218374961054
user_119793,0.18471289618893003
user_189578,0.05947177835014287
user_140164,0.01350159179530793
user_131777,0.10475331452359715
user_125331,0.17667016037080735
user_179157,0.08089610978802757
user_151686,1.0
user_175499,0.155409948576973
user_104728,0.02627234263481488
user_185199,0.24121346521548906
user_135796,0.01556257959146691
user_112257,0.17334792683928066
user_135719,0.10151870197071879
user_170552,0.007486247914793003
user_154375,0.13387446240087883
user_139692,0.1190474687846719
user_193703,0.2634403331133778
user_173692,0.04615271255459199
user_198071,0.06353402571807765
user_100576,0.005748990610336494
user_184611,0.15532164375621774
user_161770,0.05944846110378293
user_132261,0.21258375338112345
user_182200,0.13211127343557952
user_136291,0.2038283542096031
user_178450,0.21055439548707852
user_160056,0.04197765333326175
user_145949,0.1767389160025551
user_128178,0.007881142193533593
user_184464,0.044722666073112205
user_100579,0.1567643293052799
user_130960,0.224906325884681
user_164291,0.02243940438410081
user_114532,0.1120881733421826
user_117934,0.10172337948598414
user_133609,0.009349768992211639
user_149960,0.2633041531210124
user_166599,0.14779149078159642
user_199090,0.0057149918614887866
user_134452,0.18713891859180604
user_134081,0.15515433537383458
user_163588,0.01844343751496887
user_104294,0.14444887868038597
user_169103,0.10001508927566063
user_186412,0.11483994015616392
user_199477,0.0810766822601482
user_153930,0.19975484827171525
user_187071,0.9820816521324135
user_165084,0.010445340187482213
user_130713,0.1966918316376515
user_149183,1.0
user_157235,0.10000819672755697
user_115664,0.2469486415336067
user_119967,0.12989477286521584
user_191913,0.24477072924301524
user_191958,0.12545970192876313
user_181347,0.2111802356042664
user_155326,0.03075412506530169
user_129858,0.06627105406504336
user_171223,0.1559899423400178
user_152459,0.006719686581032464
user_188346,0.04844779792165699
user_182364,0.24204619195058838
user_165350,0.09960415340876017
user_159650,0.06625053578184706
user_144953,0.005714119687248506
user_139526,0.027346351289302254
user_113936,0.11837497823243925
user_193781,0.28135048525588113
user_189885,0.16438080882651354
user_181144,0.3559919285397969
user_195800,1.0
user_189405,0.17799134195233124
user_155224,0.13154268532649227
user_173646,0.20654347697655545
user_166294,0.06292071236440927
user_165540,0.15281135331224263
user_128111,0.12654433464301004
user_141929,0.03583285615047427
user_186547,0.12487318215766895
user_182586,0.1440330566093112
user_138604,0.1440919401361415
user_191658,0.0609832742946813
user_162787,0.14103346272492262
user_184341,0.06854182869330712
user_139875,0.2494482965524808
user_178469,0.023099258907639388
user_131632,0.14937729634215297
user_114953,0.1742030092536201
user_139332,0.030964701448575792
user_148588,0.28502924252680406
user_183595,0.1684460932955663
user_141488,0.09222363426702189
user_139628,0.015415138941573932
user_187895,0.04438671126968742
user_126304,1.0
